Row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EIF2S1,22049246.96993037,0.008954254158351261,0.009244771733158809,-0.27809317022210867,0.7809408384146235,0.8800138762800326
EIF2S2,18862180.275866833,-0.984566516177937,0.26823346703212025,-1.8232036673455951,0.06827254984475152,0.15918019690447172
EIF2S3,114219574.55368415,1.1359137892960982,0.3622326525183533,-2.1839768752746185,0.028963947346643315,0.08037845469071093
EIF3A,53182353.92303202,0.17571325023045686,0.34741798085830344,0.37233256272103543,0.7096452570974676,0.8356776251863607
EIF3B,68057933.61845127,-0.8586774070765636,0.1740050791280991,-3.1551322741728574,0.0016042535496247029,0.007489808064833907
EIF3C,20955.068212324953,-8.465724681847329e-07,0.0013853819237605732,-0.30279854109700527,0.7620433952946912,0.8667672252179014
EIF3CL,0.0,-3.6063338429628833e-07,0.0010223721282355254,0.0,,
EIF3D,144085706.70449632,2.141297776614051,0.24617997514864898,0.07221691400949343,0.9424292848855086,0.9702512556303472
EIF3E,154767206.36575884,2.448340707863631,0.25242843187549835,2.0615054494454377,0.03925484411920586,0.10255804888715635
EIF3F,61893415.36569893,0.05500838977153088,0.06258104730796535,2.296987962744518,0.021619456421972827,0.06363881018570464
EIF3G,134908819.53984517,1.5180373430719347,0.31462533191116887,-0.8222403307184043,0.4109401292099456,0.5953712029579661
EIF3H,260877270.86163682,1.7728496414098953,0.2731009858623541,-0.8811399030522681,0.3782421019674692,0.5644000394565525
EIF3I,147439566.93643683,1.005893346725671,0.33354374842564327,-2.995738340632948,0.002737812507018921,0.011631458696552879
EIF3IP1,24181054.249910954,-0.7525042130858165,0.31842811859918424,-3.9175345108114903,8.945924174025764e-05,0.00064513934671633
EIF3J,31278283.656910934,-0.13323293304234185,0.20594736679323425,-1.2666461656316685,0.2052818373248032,0.3670153768081632
EIF3K,193417867.18854553,1.9669157393975636,0.27601903506363495,0.5771108925848059,0.5638645465117607,0.7301600657774997
EIF3L,189369420.11955294,3.3718668199765895,0.231060551243552,5.99027379103213,2.0948806700956717e-09,6.111411493336796e-08
EIF3M,121955067.25400937,1.864149024630363,0.27143256671545485,-0.18296783418504256,0.8548232571356842,0.924281454793181
EIF4A1,0.0,,,,,
EIF4A2,195697114.3578938,2.046753152848218,0.25201861762611205,-0.44629320653107246,0.6553854628567517,0.7995793003304051
EIF4A3,56272625.608432814,-0.5381547362076432,0.19133137765149835,-3.8004726497226957,0.00014442035828225565,0.0009667406381639873
EIF4B,89070073.80892822,2.677317223620453,0.24258492509648116,3.772169626455208,0.00016183417136484532,0.0010604856931337812
EIF4E,5503630.591597926,-1.707471720086534e-05,0.001428378508869224,-0.19475671172104958,0.8455834123319691,0.9190634857270399
EIF4E1B,52433.491606010706,-7.370956591127731e-08,0.0010279131250270016,-1.8395322428994032,0.06583693999248705,0.15445100315480395
EIF4E2,36074321.852241546,-0.6144452582313423,0.24045996071343342,-2.719986221463502,0.006528463656985679,0.023856075558682355
EIF4E3,10621059.887812395,0.8918917462280287,0.2726151361122738,3.8210122195012435,0.000132905066138666,0.0009029551486413911
EIF4EBP1,53676785.69513148,-0.7466677671191706,0.5936579622784067,-3.90664140662778,9.358788355795844e-05,0.0006714930645283518
